img-link href,photo-count,list-view-price,list-view-date,left,celly,celly 2,celly 3,celly 4,eids-badge__description,he-lazy-image src,eids-badge__label,list-view-location,img-wrp href,he-lazy-image src 2,he-lazy-image src 3,wp-btn,listing-card--owner-info__firm-name,listing-card--owner-info__name,list-view-header
https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-kiralik/daire/8525-56710,31,350.000,18-05-2025,Kiralık Daire,"5 +
                          2",360 m²,"6
                        Yaşında",4. Kat,Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.,https://hecdn01.hemlak.com/img/eids-logo-mini.png,EİDS onaylı,İstanbul / Kadıköy / Caddebostan Mah.,https://www.hepsiemlak.com/emlak-ofisi/versatie-selenium-twins-zorlu-center-8525/sinan-cizmeci-8525,https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/2/5/8/0/0/d6f97f13-b255-4f55-acd8-a4745e3d74b6.jpg,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/2/5/8/0/0/7d55d022-1b95-403d-96bf-b966e1d3818e.jpg,Whatsapp,Versatıe Selenıum Twins Zorlu Center,"Sinan
          Çizmeci",
https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/8525-56694,13,125.000,18-05-2025,Kiralık Residence,"1 +
                          1",90 m²,Sıfır Bina,8. Kat,,https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/2/5/8/0/0/d6f97f13-b255-4f55-acd8-a4745e3d74b6.jpg,,İstanbul / Şişli / Teşvikiye Mah.,https://www.hepsiemlak.com/emlak-ofisi/versatie-selenium-twins-zorlu-center-8525/sinan-cizmeci-8525,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/2/5/8/0/0/7d55d022-1b95-403d-96bf-b966e1d3818e.jpg,,Whatsapp,Versatıe Selenıum Twins Zorlu Center,"Sinan
          Çizmeci",
https://www.hepsiemlak.com/istanbul-bagcilar-15-temmuz-kiralik/daire/142108-161,25,29.990,18-05-2025,Kiralık Daire,"1 +
                          1",75 m²,Sıfır Bina,1. Kat,,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/1/2/4/1/e025fdd8-8534-40fc-bdfb-e0610eb9e5dd.PNG,,İstanbul / Bağcılar / 15 Temmuz Mah.,https://www.hepsiemlak.com/emlak-ofisi/uzmanlar-gayrimenkul-142108,,,Whatsapp,Uzmanlar Gayrimenkul,,
https://www.hepsiemlak.com/istanbul-kagithane-sultan-selim-kiralik/daire/78733-1147,23,26.500,18-05-2025,Kiralık Daire,"2 +
                          1",95 m²,"5
                        Yaşında",1. Kat,,https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/3/5/4/9/4/4/4/1747317168-378224-44494536.jpeg,,İstanbul / Kağıthane / Sultan Selim Mah.,https://www.hepsiemlak.com/emlak-ofisi/serhat-insaat-ve-gayrimenkul-78733/serhat-durmazer-1502092,https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/9/0/2/0/5/1/214a3c28-9e4b-4b04-bef2-63feb027f4bb.jpg,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/3/7/8/7/0/6adf221c-a685-448d-9974-fc905eba36d4.jpg,Whatsapp,Serhat İnşaat Ve Gayrimenkul,"Serhat
          Durmazer",
https://www.hepsiemlak.com/istanbul-zeytinburnu-kazlicesme-kiralik/daire/3448-15012,29,150.000,17-05-2025,Kiralık Daire,"3 +
                          1",183 m²,"3
                        Yaşında",10. Kat,Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.,https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/5/1/0/0/3/4/4/6283cfe6-372d-456c-bd83-b106aa84ca6d.jpg,EİDS onaylı,İstanbul / Zeytinburnu / Kazlıçeşme Mah.,https://www.hepsiemlak.com/emlak-ofisi/kurtulus-emlak-3448,https://hecdn01.hemlak.com/img/eids-logo-mini.png,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/4/4/3/0/0/13be39d7-e0f9-4ee6-976f-8d3bb222f1a3.jpg,Whatsapp,Kurtuluş Emlak,,
https://www.hepsiemlak.com/istanbul-zeytinburnu-kazlicesme-kiralik/daire/3448-15021,36,130.000,17-05-2025,Kiralık Daire,"1 +
                          1",175 m²,"13
                        Yaşında",21 ve üzeri,Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.,https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/1/3/3/3/3/4/4/98a925c7-003a-4573-b6ee-c797f91da058.jpg,EİDS onaylı,İstanbul / Zeytinburnu / Kazlıçeşme Mah.,https://www.hepsiemlak.com/emlak-ofisi/kurtulus-emlak-3448,https://hecdn01.hemlak.com/img/eids-logo-mini.png,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/4/4/3/0/0/13be39d7-e0f9-4ee6-976f-8d3bb222f1a3.jpg,Whatsapp,Kurtuluş Emlak,,
https://www.hepsiemlak.com/istanbul-besiktas-ulus-kiralik/daire/31303-140615,31,62.500,15-05-2025,Kiralık Daire,"2 +
                          1",113 m²,"40
                        Yaşında",Bahçe Katı,Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.,https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/8/8/1/8/4/4/4/330a81ed-58f7-4ae1-b373-932e897f1696.jpg,EİDS onaylı,İstanbul / Beşiktaş / Ulus Mah.,https://www.hepsiemlak.com/emlak-ofisi/mete-gayrimenkul-danismanlik-31303/sabri-mete-31303,https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/0/3/1/3/0/93f90322-4c54-4fee-9152-aaf10ff40a74.jpg,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/0/3/1/3/0/0922533f-8d75-4cee-82b5-1f4e2eab65fa.jpg,Whatsapp,Mete Gayrimenkul & Danışmanlık,"Sabri
          Mete",
https://www.hepsiemlak.com/istanbul-kagithane-celiktepe-kiralik/residence/46572-11180,34,50.000,13-05-2025,Kiralık Residence,"2 +
                          1",96 m²,"5
                        Yaşında",10. Kat,Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.,https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/8/7/1/2/6/4/4/2b8bfd33-655c-4b78-bfca-fe5ad732b48d.jpg,EİDS onaylı,İstanbul / Kağıthane / Çeliktepe Mah.,https://www.hepsiemlak.com/emlak-ofisi/safir-gayrimenkul-vadi-46572,https://hecdn01.hemlak.com/img/eids-logo-mini.png,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/5/6/4/0/6f811f8f-3c2c-42bd-a963-048139213536.jpg,Whatsapp,Safir Gayrimenkul Vadi,,
https://www.hepsiemlak.com/istanbul-sariyer-rumeli-hisari-kiralik/daire/2608-6430,47,145.000,17-03-2025,Kiralık Daire,"3 +
                          1",165 m²,"30
                        Yaşında",6. Kat,Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.,https://hecdn01.hemlak.com/mncropresize/280/210/ds01/7/1/0/8/3/0/4/4/2f20f9d0-9cb6-4fb9-9877-c3640b7f112b.jpg,EİDS onaylı,İstanbul / Sarıyer / Rumeli Hisarı Mah.,https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608/sevgi-hancer-2608,https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/0/6/2/0/0/099a0e77-bd82-4caf-9c85-8278ac6a5dac.jpg,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/6/2/0/0/86693a32-8d30-4fcd-975c-a43960872292.jpg,Whatsapp,Coldwell Banker Power Gayrimenkul,"Sevgi
          Hançer",
https://www.hepsiemlak.com/istanbul-besiktas-levent-kiralik/villa/2608-5227,47,265.000,29-04-2025,Kiralık Villa,"5 +
                          1",285 m²,"50
                        Yaşında",,Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.,https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/1/9/4/6/0/3/4/a09d433d-7fd0-4bf7-bc99-2d58d00739c9.jpg,EİDS onaylı,İstanbul / Beşiktaş / Levent Mah.,https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-power-gayrimenkul-2608/sevgi-hancer-2608,https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/0/6/2/0/0/099a0e77-bd82-4caf-9c85-8278ac6a5dac.jpg,https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/6/2/0/0/86693a32-8d30-4fcd-975c-a43960872292.jpg,Whatsapp,Coldwell Banker Power Gayrimenkul,"Sevgi
          Hançer",
